replicate,condition,group,timepoint
HT29_CDX2g1_CTRL_R1,HT29_CDX2g1_CTRL,HT29_CDX2g1,CTRL
HT29_CDX2g1_CTRL_R2,HT29_CDX2g1_CTRL,HT29_CDX2g1,CTRL
HT29_CDX2g1_CTRL_R3,HT29_CDX2g1_CTRL,HT29_CDX2g1,CTRL
HT29_CDX2g1_IFNg_R1,HT29_CDX2g1_IFNg,HT29_CDX2g1,IFNg
HT29_CDX2g1_IFNg_R2,HT29_CDX2g1_IFNg,HT29_CDX2g1,IFNg
HT29_CDX2g1_IFNg_R3,HT29_CDX2g1_IFNg,HT29_CDX2g1,IFNg
HT29_CHD1g2MAP3K7g1_CTRL_R1,HT29_CHD1g2MAP3K7g1_CTRL,HT29_CHD1g2MAP3K7g1,CTRL
HT29_CHD1g2MAP3K7g1_CTRL_R2,HT29_CHD1g2MAP3K7g1_CTRL,HT29_CHD1g2MAP3K7g1,CTRL
HT29_CHD1g2MAP3K7g1_CTRL_R3,HT29_CHD1g2MAP3K7g1_CTRL,HT29_CHD1g2MAP3K7g1,CTRL
HT29_CHD1g2MAP3K7g1_IFNg_R1,HT29_CHD1g2MAP3K7g1_IFNg,HT29_CHD1g2MAP3K7g1,IFNg
HT29_CHD1g2MAP3K7g1_IFNg_R2,HT29_CHD1g2MAP3K7g1_IFNg,HT29_CHD1g2MAP3K7g1,IFNg
HT29_CHD1g2MAP3K7g1_IFNg_R3,HT29_CHD1g2MAP3K7g1_IFNg,HT29_CHD1g2MAP3K7g1,IFNg
HT29_CHD1g2MAP3K7g1CDX2g1_CTRL_R1,HT29_CHD1g2MAP3K7g1CDX2g1_CTRL,HT29_CHD1g2MAP3K7g1CDX2g1,CTRL
HT29_CHD1g2MAP3K7g1CDX2g1_CTRL_R2,HT29_CHD1g2MAP3K7g1CDX2g1_CTRL,HT29_CHD1g2MAP3K7g1CDX2g1,CTRL
HT29_CHD1g2MAP3K7g1CDX2g1_CTRL_R3,HT29_CHD1g2MAP3K7g1CDX2g1_CTRL,HT29_CHD1g2MAP3K7g1CDX2g1,CTRL
HT29_CHD1g2MAP3K7g1CDX2g1_IFNg_R1,HT29_CHD1g2MAP3K7g1CDX2g1_IFNg,HT29_CHD1g2MAP3K7g1CDX2g1,IFNg
HT29_CHD1g2MAP3K7g1CDX2g1_IFNg_R2,HT29_CHD1g2MAP3K7g1CDX2g1_IFNg,HT29_CHD1g2MAP3K7g1CDX2g1,IFNg
HT29_CHD1g2MAP3K7g1CDX2g1_IFNg_R3,HT29_CHD1g2MAP3K7g1CDX2g1_IFNg,HT29_CHD1g2MAP3K7g1CDX2g1,IFNg
HT29_NTC_CTRL_R1,HT29_NTC_CTRL,HT29_NTC,CTRL
HT29_NTC_CTRL_R2,HT29_NTC_CTRL,HT29_NTC,CTRL
HT29_NTC_CTRL_R3,HT29_NTC_CTRL,HT29_NTC,CTRL
HT29_NTC_IFNg_R1,HT29_NTC_IFNg,HT29_NTC,IFNg
HT29_NTC_IFNg_R2,HT29_NTC_IFNg,HT29_NTC,IFNg
HT29_NTC_IFNg_R3,HT29_NTC_IFNg,HT29_NTC,IFNg